state,x,y
Andhra Pradesh,-65,-150
Arunachal Pradesh,150,120
Assam,130,65
Bihar,40,50
Chhattisgarh,-30,-40
Goa,-165,-140
Gujarat,-190,0
Haryana,-115,110
Himachal Pradesh,-110,160
Karnataka,-130,-150
Kerala,-135,-220
Madhya Pradesh,-100,0
Maharashtra,-120,-50
Manipur,190,40
Meghalaya,120,45
Mizoram,170,15
Nagaland,200,65
Odisha,35,-30
Punjab,-130,140
Rajasthan,-180,60
Sikkim,80,90
Tamil Nadu,-70,-210
Telangana,-80,-100
Tripura,120,20
Uttar Pradesh,-50,60
Uttarakhand,-60,130
West Bengal,40,0
Jammu And Kashmir,-150,210
